0,1,2,3,4,5
F0017/MID3,m,F0017/MID4,m,2895571.896955901,S
F0017/MID3,m,F0017/MID6,m,2247088.005374416,S
F0017/MID3,m,F0017/MID5,f,2499593.5915755313,D
F0017/MID4,m,F0017/MID5,f,3459383.424156867,D
F0017/MID4,m,F0017/MID6,m,3053133.5955617432,S
F0017/MID5,f,F0017/MID7,m,2046325.0822824389,D
F0020/MID1,m,F0020/MID10,m,1825334.5567574368,S
F0020/MID1,m,F0020/MID6,f,2216877.4617852424,D
F0020/MID1,m,F0020/MID5,f,1301079.7086511482,D
F0020/MID1,m,F0020/MID3,f,2193438.1407317845,D
F0020/MID1,m,F0020/MID2,f,1333011.6132151983,D
F0020/MID11,m,F0020/MID3,f,1736677.2647587038,D
F0020/MID11,m,F0020/MID10,m,1491427.309677734,S
F0020/MID11,m,F0020/MID6,f,1805761.3084885026,D
F0020/MID2,f,F0020/MID6,f,1570828.9646974932,S
F0020/MID2,f,F0020/MID10,m,1400664.915409725,D
F0020/MID2,f,F0020/MID3,f,1564317.0234153278,S
F0020/MID2,f,F0020/MID5,f,1089283.2944629812,S
F0020/MID3,f,F0020/MID6,f,3379303.686613969,S
F0020/MID3,f,F0020/MID10,m,2566693.077284849,D
F0020/MID3,f,F0020/MID5,f,1776090.027522873,S
F0020/MID5,f,F0020/MID6,f,1826260.7110260492,S
F0020/MID5,f,F0020/MID10,m,1414451.4143849937,D
F0020/MID6,f,F0020/MID10,m,2582176.626311511,D
F0020/MID7,f,F0020/MID5,f,1577210.0894289482,S
F0020/MID7,f,F0020/MID1,m,1924612.4384659347,D
F0020/MID7,f,F0020/MID3,f,2772851.1977730286,S
F0020/MID7,f,F0020/MID6,f,2851175.3210307583,S
F0020/MID7,f,F0020/MID10,m,2177570.152525938,D
F0020/MID8,m,F0020/MID10,m,1851954.1129883293,S
F0020/MID8,m,F0020/MID6,f,2372208.6381202317,D
F0020/MID8,m,F0020/MID3,f,2268379.523552905,D
F0020/MID8,m,F0020/MID2,f,1261966.5713129835,D
F0020/MID9,f,F0020/MID5,f,1745367.248376578,S
F0020/MID9,f,F0020/MID2,f,1430081.5703366236,S
F0022/MID1,f,F0022/MID3,m,1980271.4757620026,D
F0022/MID2,m,F0022/MID3,m,1623989.1766016944,S
F0022/MID4,f,F0022/MID3,m,2497551.678674085,D
F0022/MID4,f,F0022/MID1,f,2787062.313180254,S
F0022/MID5,m,F0022/MID1,f,2103085.500484343,D
F0022/MID5,m,F0022/MID3,m,1989309.1796174874,S
F0023/MID1,f,F0023/MID5,f,1445452.5986148512,S
F0023/MID1,f,F0023/MID4,f,1514451.108590563,S
F0023/MID2,f,F0023/MID1,f,1466467.9887788221,S
F0023/MID2,f,F0023/MID4,f,2286770.372414458,S
F0023/MID2,f,F0023/MID6,m,2199164.5408192216,D
F0023/MID3,m,F0023/MID5,f,1839719.5060497955,D
F0023/MID3,m,F0023/MID1,f,1301441.422227283,D
F0023/MID3,m,F0023/MID4,f,1894875.3143283238,D
F0023/MID4,f,F0023/MID5,f,2171261.733591572,S
F0024/MID2,f,F0024/MID1,m,2171131.4371841433,D
F0024/MID3,m,F0024/MID1,m,1217747.5959773026,S
F0024/MID3,m,F0024/MID5,m,1080069.98013301,S
F0024/MID4,f,F0024/MID5,m,2543021.262566026,D
F0030/MID1,m,F0030/MID4,m,1400555.4027395525,S
F0030/MID1,m,F0030/MID3,m,1281702.3865184702,S
